SL,School Name,District,Board,Sector,Project,Link
14,Khowai Govt. HS School,Khowai,CBSE,Electronics & Hardware,VE 24 Schools,https://docs.google.com/spreadsheets/d/1X-DjU9IEFEgGEp3kaSDA-FAiyqF88dcoiM_NkN4FzHg/edit?usp=drivesdk
15,Chebri Govt. Class XII School,Khowai,TBSE,Agriculture,VE 24 Schools,https://docs.google.com/spreadsheets/d/1mmJ1awIfecnGzHzFUyuX5wozKcldoGr7OvEf0ocT9Sw/edit?usp=drivesdk
16,PMSHRI kamalghat HS school,West,TBSE,Agriculture,VE 24 Schools,https://docs.google.com/spreadsheets/d/1sco0D3EA2mkyMWeMDqUXesfX5VeZ_Y53EF89P7SLKxk/edit?usp=drivesdk
17,Bodhjung HS School,West,CBSE,Electronics & Hardware,VE 24 Schools,https://docs.google.com/spreadsheets/d/1C_pes45Q27o7QOYFMX6c-In4SBsXRIWwTPyOGePZBRw/edit?usp=drivesdk
18,Madhuban (K) HS School,West,TBSE,IT-ITeS,VE 24 Schools,https://docs.google.com/spreadsheets/d/1oC8hXhBRHD0tsP4ss5x-A5qx58PK6cxMnihSGbrW97o/edit?usp=drivesdk
19,Amtali HS School,West,CBSE,Information Technology,VE 24 Schools,https://docs.google.com/spreadsheets/d/1yIGWU2lFkWUBjcdR9sYScuD-EKQqLj4tIgUiTy6b6D8/edit?usp=drivesdk
20,Boxanagar HS School,Sepahijala,CBSE,Information Technology,VE 24 Schools,https://docs.google.com/spreadsheets/d/1EEsoL9vD7COYUBm_72QfVUYLX2llVprJyqYWRxHmj4M/edit?usp=drivesdk
21,Boxanagar H.S School,Sepahijala,CBSE,Agriculture,VE 24 Schools,https://docs.google.com/spreadsheets/d/1bartcmVeDlI__DNtn77d_vnVyxylZjAH94QJL_8fzIQ/edit?usp=drivesdk
22,Bishalgarh Class-XII School,Sepahijala,TBSE,IT-ITeS,VE 24 Schools,https://docs.google.com/spreadsheets/d/1f5jkB7eAnVBvohp5daPIqBuMItb7v6fQ4ggeaDrPc2Y/edit?usp=drivesdk
23,Kathalia HS School,Sepahijala,CBSE,Information Technology,VE 24 Schools,https://docs.google.com/spreadsheets/d/1l3_AOTzBHJHZ9RdpPJ-5RGjYgFCQ_aPZtPRaJCh0R5c/edit?usp=drivesdk
24,Jalemabari HS School,Gomati,TBSE,Agriculture,VE 24 Schools,https://docs.google.com/spreadsheets/d/1phzRAoiHJFMv3cC_uYvy8D2rmYq0jRitR5z3TAmp01w/edit?usp=drivesdk
25,Karbook Panjiham H.S. School,Gomati,CBSE,Agriculture,VE 24 Schools,https://docs.google.com/spreadsheets/d/16g_t2-m3lXDVwQpntSI-Pk-VOWeC-cDiQBD_yYeHRNU/edit?usp=drivesdk
26,Karbook Panjihum H.S School,Gomati,CBSE,Information Technology,VE 24 Schools,https://docs.google.com/spreadsheets/d/1Nw6nF821QC8BqcFNo1OmSzfSmOK8CJmsKpknEX8uFK0/edit?usp=drivesdk
27,Kirit Bikram Institution (HS),Gomati,CBSE,Electronics & Hardware,VE 24 Schools,https://docs.google.com/spreadsheets/d/1Q4Tb5k8vp-6D8PxaJ1G2DaxlqSfzdsp4XDTTSobT8mM/edit?usp=drivesdk
28,Belonia Govt. English Medium HS School,South,CBSE,Information Technology,VE 24 Schools,https://docs.google.com/spreadsheets/d/1UbuKKer1eOQCuBEQExxroFccZwFSjbe-N7yvtqMKvMc/edit?usp=drivesdk
